DATE;INDPRO_PCH;WILL5000PR_PCH;HSN1F_PCH;DCOILBRENTEU_PCH;CORESTICKM159SFRBATL_PCH;TOTALSA_PCH;CPIUFDSL_PCH;DEXJPUS_PCH;MICH_PCH;VIXCLS_PCH;PAYEMS_PCH;PPIACO_PCH
2001-08-01;-0.10468;-2.29825;-1.59091;4.33241;1.36860;-0.69854;0.23041;-2.51501;3.84615;-2.03642;-0.11273;0.00000
2001-09-01;-0.52136;-11.65238;-1.50115;-0.23559;4.21418;0.10399;0.11494;-2.27021;3.70370;60.39590;-0.19618;-0.07496
2001-10-01;-0.31048;2.78966;2.11020;-19.83518;2.81284;34.76932;0.34443;2.39603;-64.28571;-6.68475;-0.23754;-2.25056
2001-11-01;-0.58285;5.09718;6.08496;-8.47487;3.38492;-18.24530;0.05721;0.78373;-60.00000;-18.61280;-0.23659;-0.38373
2001-12-01;-0.04893;2.18755;5.95238;-0.48948;-1.02937;-8.68504;-0.11435;4.23919;350.00000;-10.93071;-0.11972;-1.30971
2002-01-01;0.71965;0.01164;-10.11236;3.80404;-0.20921;0.35226;0.34345;3.98829;5.55556;-6.18526;-0.10001;0.31226
2002-02-01;-0.00045;-3.33106;7.72727;4.42236;-0.84406;4.72674;0.22818;0.72300;10.52632;2.79934;-0.09247;-0.07782
2002-03-01;0.74232;5.01060;-2.63713;16.87340;-1.67136;-1.13847;0.22766;-1.93178;28.57143;-17.00833;-0.00918;1.09034
2002-04-01;0.48293;-2.76976;1.40845;8.57492;-0.07663;3.27936;0.17036;-0.22061;3.70370;4.82199;-0.07956;0.77042
2002-05-01;0.42522;-2.55543;4.48718;-1.48932;-0.39500;-8.32579;-0.34014;-3.36221;-3.57143;0.94105;0.01225;0.00000
2002-06-01;0.82605;-6.11344;-2.14724;-4.98625;-6.09594;4.66753;0.05688;-2.44075;0.00000;25.80318;0.03828;0.07645
2002-07-01;-0.03463;-10.91656;-0.10449;6.87004;0.67909;7.04300;0.11370;-4.37293;-3.70370;34.73763;-0.07423;0.22918
2002-08-01;-0.10811;0.70953;6.06695;3.55639;-3.58828;1.66419;0.00000;0.92760;0.00000;-0.90109;0.00153;0.22866
2002-09-01;0.10006;-4.48582;2.95858;6.55936;-3.81330;-9.66990;0.22714;1.75244;-3.84615;11.57219;-0.06815;0.60837
2002-10-01;-0.25817;-2.05385;-3.63985;-3.01583;-2.95420;-2.43624;-0.05666;2.33711;0.00000;-6.38676;0.09425;0.68027
2002-11-01;0.54688;6.49331;1.78926;-11.64652;-3.84285;1.60526;0.28345;-1.85608;-4.00000;-20.05515;-0.00306;-0.07508
2002-12-01;-0.56052;-0.87154;2.34375;16.43404;-1.13861;8.14770;0.11306;0.23433;4.16667;0.12591;-0.11331;-0.15026
2003-01-01;0.82587;-0.40922;-4.67557;10.05536;-0.50158;-6.48159;0.00000;-2.52642;0.00000;-2.78687;0.08508;1.80587
2003-02-01;0.12586;-6.31510;-6.30631;5.09037;-2.97100;-3.55518;0.56465;0.44150;8.00000;17.48135;-0.10492;1.69993
2003-03-01;-0.26773;1.01478;6.73077;-6.58698;-2.83738;2.19064;0.16844;-0.54530;14.81481;-4.91686;-0.16176;2.61628
2003-04-01;-0.63490;5.13352;1.30130;-18.11245;-6.43579;1.72466;0.05605;1.01768;-22.58065;-21.68283;-0.04300;-3.11615
2003-05-01;-0.02300;5.76093;6.52174;3.15146;-4.56975;-1.67751;0.16807;-2.10760;-16.66667;-15.64020;0.01536;-0.07310
2003-06-01;0.12665;5.91938;10.66790;6.94233;-3.28792;3.29690;0.50336;0.81875;5.00000;0.60702;-0.00307;0.95099
2003-07-01;0.51678;1.08537;-2.09556;2.51633;-1.48030;0.61130;0.05565;0.31004;-19.04762;-5.89822;-0.00614;-0.21739
2003-08-01;-0.22398;-0.02587;3.25342;5.43023;-3.27302;6.68926;0.38932;-0.02825;47.05882;0.58932;-0.02381;0.21786
2003-09-01;0.65770;3.53151;-6.21891;-9.28739;0.88267;-5.34443;0.22161;-3.25493;12.00000;1.33907;0.07606;0.36232
2003-10-01;0.12869;2.08690;1.14943;9.20452;-1.08678;-4.61067;0.38695;-4.62068;-7.14286;-7.72513;0.14357;0.57762
2003-11-01;0.68415;1.50841;-4.45804;-2.88885;-5.79933;6.51343;0.55066;-0.29013;3.84615;-3.45342;0.03297;-0.28715
2003-12-01;0.04961;2.70094;3.29369;3.66800;-2.87217;-1.17292;0.49288;-1.31900;-3.70370;-3.30261;0.08584;0.43197
2004-01-01;0.16795;4.94302;3.18866;4.94448;-0.91240;-3.81402;-0.05450;-1.36371;3.84615;-4.31088;0.13171;1.36201
